url,referrer,title
https://en.wikipedia.org/wiki/Chile,https://en.wikipedia.org/wiki/History_of_agriculture,Chile
https://en.wikipedia.org/wiki/Perm,https://en.wikipedia.org/wiki/The_Master_and_Margaret,Perm
https://en.wikipedia.org/wiki/Kabardino-Balkaria,https://en.wikipedia.org/wiki/Moscow,Kabardino-Balkaria
https://en.wikipedia.org/wiki/Buryatia,https://en.wikipedia.org/wiki/Moscow,Buryatia
https://en.wikipedia.org/wiki/Altai_Republic,https://en.wikipedia.org/wiki/Moscow,Altai Republic
https://en.wikipedia.org/wiki/Kalmykia,https://en.wikipedia.org/wiki/Moscow,Kalmykia
https://en.wikipedia.org/wiki/Dagestan,https://en.wikipedia.org/wiki/Moscow,Dagestan
https://en.wikipedia.org/wiki/Chuvashia,https://en.wikipedia.org/wiki/Moscow,Chuvashia
https://en.wikipedia.org/wiki/Bashkortostan,https://en.wikipedia.org/wiki/Moscow,Bashkortostan
https://en.wikipedia.org/wiki/Chechnya,https://en.wikipedia.org/wiki/Moscow,Chechnya
https://en.wikipedia.org/wiki/Adygea,https://en.wikipedia.org/wiki/Moscow,Adygea
https://en.wikipedia.org/wiki/Saint_Helier,https://en.wikipedia.org/wiki/Moscow,Saint Helier
https://en.wikipedia.org/wiki/Ingushetia,https://en.wikipedia.org/wiki/Moscow,Ingushetia
https://en.wikipedia.org/wiki/Moscow,https://en.wikipedia.org/wiki/The_Master_and_Margaret,Moscow
"https://en.wikipedia.org/wiki/Douglas,_Isle_of_Man",https://en.wikipedia.org/wiki/Moscow,"Douglas, Isle of Man"
https://en.wikipedia.org/wiki/Andorra,https://en.wikipedia.org/wiki/Moscow,Andorra
https://en.wikipedia.org/wiki/Bern,https://en.wikipedia.org/wiki/Moscow,Bern
https://en.wikipedia.org/wiki/Luxembourg_City,https://en.wikipedia.org/wiki/Moscow,Luxembourg City
"https://en.wikipedia.org/wiki/Moscow,_Idaho",https://en.wikipedia.org/wiki/Category:Moscow,"Moscow, Idaho"
https://en.wikipedia.org/wiki/Massawa,https://en.wikipedia.org/wiki/Portal:Military_history_of_Africa,Massawa
https://en.wikipedia.org/wiki/Transvaal_Province,https://en.wikipedia.org/wiki/History_of_Africa,Transvaal Province
https://en.wikipedia.org/wiki/Obiaruku,https://en.wikipedia.org/wiki/History_of_Africa,Obiaruku
https://en.wikipedia.org/wiki/Buganda_kingdom,https://en.wikipedia.org/wiki/History_of_Africa,Buganda
https://en.wikipedia.org/wiki/Gao,https://en.wikipedia.org/wiki/History_of_Africa,Gao
